localidad,a_huelga,a_la_educacion,a_la_honra/_al_honor,a_la_identidad_cultural,a_la_informacion,a_la_integracion_de_discapacidad,a_la_integridad_fisica_y_psiquica,a_la_nacionalidad,a_la_participacion,a_la_salud,a_la_seguridad/vida_sin_violencia,a_la_seguridad_social,a_la_vida,a_la_vivienda_digna,a_sindicalizarse_y_a_la_negociacion_colectiva,a_sufragio/votar,acceso_a_informacion_publica,acceso_a_la_cultura,al_salario_equitativo,al_trabajo,amistad_civica,autonomia/libertad,bien_comun/comunidad,cambio_o_reforma_constitucional,ciudadania,congreso_o_parlamento_(estructura_y_funciones),contraloria_general/tribunales_de_cuentas,cumplimiento_de_las_leyes_y_normas,cumplimiento_de_obligaciones_fiscales,cumplimiento_de_tratados_y_obligaciones_internacionales,de_los_pueblos_indigenas,de_peticion_ante_las_autoridades,de_propiedad,de_proteccion_y_conservacion_de_patrimonio_historico_y_cultural,de_satisfacer_cargas_publicas,deberes_de_proteccion_de_conservacion_de_la_naturaleza,defensor_del_pueblo/ciudadano,democracia,derecho_de_asociacion,"derechos_del_nino,_nina_y_adolescente",desarrollo,descentralizacion,dignidad,diversidad,division_territorial,ejercicio_legitimo_y_no_abusivo_de_los_derechos,emprendimiento_libre,equidad_de_genero,estado_de_derecho,estado_de_excepcion,estado_laico,forma_de_estado:_federalismo/autonomias_regionales,fuerzas_armadas,gobierno_local/municipal,gobierno_nacional(estructura_y_funciones),gobierno_provincial,gobierno_regional,identidad_cultural,igualdad,igualdad_ante_la_ley,igualdad_ante_las_cargas_publicas,igualdad_ante_los_tributos,igualdad_de_acceso_a_la_justicia/debido_proceso,igualdad_de_genero,inclusion,innovacion/creatividad,integracion,jefatura_de_gobierno,juicio_politico_/acusacion_constitucional,justicia,justicia_constitucional,justicia_electoral,libertad_ambulatoria,libertad_de_conciencia,libertad_de_ensenanza,libertad_de_expresion,libertad_de_trabajo,libertad_personal,libre_iniciativa_economica_/_libre_empresa,ministerio_publico/_defensoria_publica,multiculturalidad,no_discriminacion,participacion,patriotismo,paz/convivencia_pacifica,"plebiscitos,_referendos_y_consultas",pluralismo,plurinacionalismo,poder_judicial_(estructura_y_funciones),presidencia_de_la_republica,privacidad_e_intimidad,probidad,proteccion_judicial_de_los_derechos,"proteccion,_promocion_y_respeto_de_los_derechos_humanos_y_fundamentales",republica,respeto,respeto/conservacion_de_la_naturaleza_o_medio_ambiente,respeto_a_la_naturaleza/medio_ambiente,respeto_de_derechos_de_otros,respeto_por_la_constitucion,responsabilidad,reunion_pacifica,regimen_de_gobierno_presidencial/semi-presidencial/parlamentario,seguridad,ser_elegido_en_cargos_publicos,servicio_a_la_comunidad,soberania,solidaridad,subsidiaridad,tolerancia,transparencia_y_publicidad,unidad
Aisen del General Carlos Ibanez del Campo/Aysen/Aysen,2,4,0,1,1,1,1,0,0,9,2,0,3,5,2,2,1,0,3,3,4,2,2,3,0,2,2,3,4,3,0,0,1,3,0,6,3,3,0,0,1,6,0,1,1,2,0,0,2,1,1,4,1,2,0,0,4,1,6,3,0,2,0,0,2,1,0,0,2,4,1,0,0,1,0,2,0,0,0,1,1,1,3,0,0,6,0,0,3,0,1,3,1,5,0,0,3,5,3,7,3,0,7,1,0,2,2,3,1,0,1,0
Aisen del General Carlos Ibanez del Campo/Capitan Prat/Cochrane,1,5,0,1,1,1,0,0,0,4,0,1,2,1,1,1,0,0,2,1,0,0,2,0,0,1,0,2,1,3,0,1,1,2,0,5,3,3,1,0,1,5,0,0,1,4,0,2,2,0,1,2,1,2,0,1,2,1,1,2,0,0,1,0,1,0,0,1,2,3,2,1,0,0,0,0,1,0,1,0,1,0,0,1,0,4,1,0,2,2,0,1,0,3,0,1,2,2,3,5,1,0,1,0,0,1,0,2,1,1,0,0
Aisen del General Carlos Ibanez del Campo/Capitan Prat/O'higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aisen del General Carlos Ibanez del Campo/Capitan Prat/Tortel,0,2,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,1,0,2,1,2,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,2,0,2,0,1,1,0,1,1,2,0,0,0,1,2,0,0,0,0,0,0
Aisen del General Carlos Ibanez del Campo/Coyhaique/Coyhaique,2,63,0,6,5,5,6,1,13,66,19,28,22,17,8,11,0,3,15,14,3,16,35,20,4,41,16,43,15,22,5,0,6,54,8,64,27,48,1,13,4,43,7,6,10,32,4,26,12,5,21,30,19,31,10,3,50,11,63,32,0,2,6,10,14,6,1,1,10,35,10,4,0,8,4,26,2,7,3,11,10,7,10,2,4,62,0,2,27,30,3,10,5,64,4,21,50,25,54,57,19,0,24,13,0,28,3,17,4,6,3,1
Aisen del General Carlos Ibanez del Campo/Coyhaique/Lago Verde,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,0,1,1,1,0,0,2,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,2,0,2,1,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0
Aisen del General Carlos Ibanez del Campo/General Carrera/Chile Chico,2,10,0,0,0,4,0,0,0,10,4,1,4,4,0,4,0,0,4,1,1,1,2,5,0,6,2,6,1,1,4,1,0,11,0,9,5,8,0,1,0,8,1,2,1,8,0,8,1,1,1,4,1,7,1,7,11,2,9,3,0,0,0,4,2,1,0,0,0,9,1,2,0,0,2,3,0,1,0,1,0,5,3,0,3,8,0,1,3,6,0,0,0,10,0,3,5,3,10,9,5,0,3,2,0,6,2,1,0,2,0,0
Aisen del General Carlos Ibanez del Campo/General Carrera/Rio Ibanez,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta/Antofagasta/Antofagasta,3,69,1,7,10,10,5,2,12,77,18,23,54,31,12,17,6,5,33,13,5,14,52,33,1,56,24,68,17,17,10,0,4,59,4,83,58,51,15,8,10,67,36,6,6,43,2,24,29,8,16,39,26,24,12,5,50,11,62,56,0,3,8,12,19,8,3,5,31,72,13,9,2,22,22,29,2,10,1,12,6,8,11,0,9,82,2,6,59,49,18,40,7,92,17,25,50,21,59,80,51,16,32,17,1,62,8,11,3,9,20,4
Antofagasta/Antofagasta/Mejillones,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,1,0
